;0;1;2;3;4;5;6;7;8;9;10;11;type
1596;5188.01265491;-23763.5134626;11613.9402419;9048.14136385;3528.89421581;-2890.87067251;1163.30803316;1775.8118712;-5864.99788946;-3702.29965596;17.6060729755;1019.57474274;0.0
760;-3559.81868744;33377.2024188;-24351.2261646;-17392.3393293;-3423.42831622;4473.74676006;2496.58322223;727.227093746;5929.01258874;4436.92886331;-2539.82811508;6312.85032515;1.0
1696;-39723.3530938;-268.459398528;16604.7730629;-4165.75277765;-5340.73663377;679.1333026;2292.96792831;41.8092415935;2952.26939924;-531.094680522;1402.26569208;1806.5460044;0.0
1543;12060.3367557;-16046.3517522;16368.0768937;-647.22958499;-1887.74125381;2157.00126045;2710.77143431;2125.0481756;-3550.31717279;1505.00059902;1648.67746194;-2160.83274997;0.0
1555;-11568.386681;2749.91910295;11845.3619403;-11578.5769616;-3885.8673421;-7876.90131432;8068.62650075;4639.55672039;-5231.90984724;4165.82826117;-2660.78137436;-450.887553179;0.0
806;-7414.06301351;3899.42784519;-1468.10011056;5561.6888818;221.233592471;1484.60254863;-1931.22376011;-400.702890687;-5853.87460176;7602.34810703;-887.615882339;577.653262642;1.0
1945;5739.13339887;-19169.2918734;-3634.6938643;11777.5171557;4946.28622265;-2676.85781571;2111.88411351;1883.9022732;3122.48903468;-891.481908204;-5964.12363895;1356.88217695;0.0
875;16136.7031454;-1516.07702735;12461.2048693;9999.64181285;2722.52093736;-3479.22649712;-14086.5419332;-11580.82857;-1999.6248433;4857.06780376;-2140.02115371;-2105.20975091;1.0
906;-9161.83338705;-17981.1732909;1585.60145958;12022.6872752;6173.09212914;964.528813749;-3907.49588451;473.19096476;-1904.65536157;-6335.94434136;-859.025016545;3752.34702118;1.0
1100;37074.0767162;19027.5658292;33420.8700379;-16039.5709604;-12045.3101435;-7562.32113875;-1351.64385085;-3741.65734897;-4979.01901202;-8107.64481416;-78.4053164229;-4507.65834747;0.0
762;-3788.0828107;19454.856621;-8042.65940381;2938.0659436;31.0077483865;12194.55698;-4320.36921674;-5586.73246676;4210.17534561;2724.56218618;1037.87542464;-351.739898235;1.0
720;-18132.7325069;4881.3499442;-19014.5422151;8062.38981595;2143.89666596;-8765.2498467;-543.38246556;265.80886188;809.972374025;187.228155679;931.017133711;-2509.03845087;0.0
1744;-28860.7456741;-626.466410378;10369.6249066;-3202.88426832;-2876.16786806;418.932789048;1990.33463197;-1108.68195038;8638.11292436;386.448896192;1096.71817365;2076.3053623;0.0
1943;-9964.10682574;-7135.83412907;-7142.99502954;7714.81355633;1648.32593175;-1590.57267174;-449.410115459;4737.0008348;-2998.522234;1194.78927328;140.525675687;1335.42193808;0.0
1975;15958.1178917;-5561.47566548;17864.8186889;12024.4147455;4432.38581225;13563.1881576;-11867.1420763;-1131.31697902;-549.848283423;-324.353231906;-2610.35955504;485.623789153;0.0
752;-22872.5201077;12346.8615799;-7316.97621346;-1200.9820012;5852.8206031;-159.627789844;-3743.21041641;-2618.29085015;-109.220996598;-1230.42537158;-2058.52846218;209.008861582;1.0
1557;-10833.3166978;-449.136861754;9123.62988173;-1531.24797972;-2594.55833673;330.973565276;-559.795454252;-589.873309091;-1611.24760281;918.252125876;186.553628345;-4108.50580956;0.0
1607;11646.882192;-1264.09642793;5892.07060389;10881.8248574;3953.39281573;6872.90181997;-11272.0669854;-9027.8970312;-1090.41874204;4344.21943765;-4325.69763064;-4842.25479287;0.0
809;15373.4029285;7812.03540091;-4227.20708245;1885.38631526;360.338328803;6198.27204115;3415.09983021;1918.08920354;-2923.26491467;1802.2453233;486.903497411;-3924.29586239;1.0
1117;-9513.73226177;-21844.8343708;10534.9860901;1551.47512998;8693.65706645;-103.719407103;2097.85652347;2839.25801957;-4140.60566982;-2008.78444665;211.980978887;2621.73028519;0.0
1754;-4813.26340991;-5316.37805343;-13040.0840153;7816.26508889;3428.08292033;-1753.28741514;2738.20061325;3701.45518579;4593.59144694;-950.222789039;951.18811923;-286.277603051;0.0
1138;-28915.5662844;-1908.79946391;24380.5408812;-3922.46165259;-8888.18762476;-5259.64975281;-1111.82258464;-3761.33988522;-869.473692716;-687.768241878;1406.2839749;-1637.02162079;0.0
2017;-74.7954563925;-16936.1392138;-2420.64854053;6684.53204625;1727.52795664;-1155.55531135;6604.62700589;8914.83281836;-5274.29703513;-3.04931992598;-4.89491360272;868.979536653;0.0
1711;884.155445575;-14726.0498919;8393.67787201;-210.866670698;2992.84949074;10391.6780391;149.546148893;-5655.75999421;2837.95809638;2069.73584264;1988.96643866;-2667.11481051;0.0
1971;34154.5620397;-11096.0253684;1795.31905424;-206.176163082;205.838505453;-603.037724704;1119.44397106;-3995.55734133;12736.9065454;4687.86562759;958.085737315;-656.283569999;0.0
1937;29241.0916894;-10720.534447;5631.30174808;-11683.1914881;7041.81098852;15315.854718;6618.45722613;8554.23880138;-96.9473714794;567.943746461;-1245.50120743;1601.89423774;0.0
1721;-21499.5861781;-10131.8484605;14500.7986954;3734.84275889;-1727.9605424;10206.0881183;3694.8435957;1416.95843489;2073.51023907;-2054.16706645;-4655.15679299;-2131.26784698;0.0
803;-10028.6917109;-9790.85036575;13278.7928606;-305.856050309;13898.1357208;-13.9873406244;-9147.47043329;-6543.3158158;5822.09455278;-163.494951482;-396.08234569;5655.82458343;1.0
1101;6437.80913987;-12859.0025919;10578.0000443;6908.50194684;850.801873387;-17.0002320997;-2907.59000084;-4762.26033;-3058.36235469;2936.03672131;335.869953481;-3961.91774284;0.0
856;49660.7977063;-7494.31784524;9153.86896999;2114.61435693;380.52269846;4140.63201067;-27.2074911617;-6104.28453175;-6987.45954751;996.283162197;5369.82080974;-1608.62135787;1.0
1778;-1297.97204535;-7117.51205082;-8034.65915117;6431.76068396;2452.67946374;-2851.73584843;2028.16005067;3681.57320091;634.654814456;-3008.74622094;126.699309905;1991.35526064;0.0
786;-29011.5878691;14448.3209448;-19627.6500411;1142.4695074;-1617.77567114;-4345.41249317;-646.042411233;-1576.68039949;595.638115357;1081.98668503;2828.64150223;-565.191903402;1.0
26;18986.6134792;-14417.5865095;9147.80227258;-7225.92133502;-4457.57471365;4496.79344241;2778.23657992;-3769.9864665;6894.79942431;-3950.318373;-1262.20157665;-3133.50230664;0.0
1694;-11292.0129005;-3797.87844636;4007.44079388;1681.94338631;-1400.32031366;4524.29816776;1667.77084947;296.441776654;-123.526741551;-141.42210107;-2453.86754294;-4458.91678374;0.0
1720;-16000.6376272;-1997.2156154;4186.30952648;-3262.73031953;-523.723664997;597.237030378;-1419.76729596;-1975.13728835;6259.04224392;-1328.59989901;2405.28883366;373.332734117;0.0
1655;-11787.0789792;-14560.7145743;18050.8662328;2166.63697884;4622.02608809;3461.70403677;3441.00957894;3856.88517415;1390.60718401;-163.901993221;-4270.75994551;-1261.12649803;0.0
1547;16588.6472157;12701.8564211;-7305.67281996;-25275.9861192;-8690.16824603;-11372.3791155;13460.3511946;10659.2664144;-2390.15715514;4389.16876238;-1587.5224221;-2091.28814659;0.0
724;-10723.6862236;4279.72306809;-21188.5107338;3727.79476954;1215.92028319;-6175.09106438;-256.017250657;1606.12920746;1255.73259568;-4297.46307489;-91.2597249836;-198.917632189;0.0
1939;2976.66314927;-2287.59368222;-10913.8563557;1077.04684671;-965.12812403;2982.69231959;2002.30386101;1590.26855833;-121.488101384;3121.11566911;2204.01788411;-1078.8072685;0.0
819;-14910.3789337;-2168.09403343;1961.24025513;4992.539475;-1115.82415936;-2672.25971369;-6025.01597055;-3471.44966535;-3734.99000085;-978.813805903;-1143.45511;1379.99396436;1.0
823;34620.0227062;15250.3811904;-564.818305203;-7132.37809587;-5638.34187661;6874.99542041;-555.468445489;2627.00728368;-5530.33666123;4804.65033947;-2768.09295664;3474.41920985;1.0
1843;-5532.87478571;-5617.15464084;-12330.3612608;9836.15163075;4495.42746882;-6404.88804265;-3511.32681495;-1724.16781339;5931.27948747;-347.870720059;2938.23582799;1382.26220551;0.0
955;-22596.0685264;2481.99225097;-4361.5347316;3685.09911585;-1082.82391215;3746.93444815;-3880.04292027;762.951888262;1719.74542943;-630.187521298;-282.275049938;4206.33518128;1.0
